Team,Player,Min,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Date,GameKey,Opponent,PlayerClean,Position
BET,Héctor Bellerín (Defender),90.0,0.0,21.2,27.3,5.0,83.3,0.0,3.0,6.0,6.0,2.0,8.0,4.0,3.0,7.0,0.0,5.0,0.0,2.0,6.0,0.0,13.0,0.0,52.0,26.0,0.0,0.0,1.0,1.0,0.0,6.0,30.0,52.0,0.0,38.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,62.0,50.0,86.0,87.5,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,2026-08-21,2026-08-21_BET-RSO,RSO,Héctor Bellerín,Defender
BET,Marc Roca (Defensive Midfielder),90.0,1.0,21.2,27.3,6.0,33.3,0.0,6.0,1.0,5.0,4.0,6.0,4.0,4.0,8.0,1.0,9.0,0.0,0.0,7.0,2.0,47.0,6.0,37.5,21.0,0.037,0.0,3.0,1.0,0.0,30.4,23.2,37.5,1.0,47.0,0.0,2.0,12.0,0.0,0.0,2.0,1.0,73.0,56.0,91.1,100.0,0.0,0.0,0.02,0.0,0.07,1.0,2.0,0.0,0.0,40.0,66.7,100.0,6.0,2026-08-21,2026-08-21_BET-RSO,RSO,Marc Roca,Defensive Midfielder
BET,Marc Bartra (Defender),90.0,1.0,21.2,27.3,3.0,41.7,0.0,2.0,4.0,4.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,5.0,0.0,11.0,1.0,50.0,23.0,0.017,0.0,4.0,2.0,0.0,21.7,23.9,50.0,0.0,33.0,1.0,2.0,7.0,0.0,0.0,6.0,0.0,60.0,46.0,82.6,,1.0,0.0,0.01,0.0,0.02,1.0,1.0,0.0,0.0,100.0,85.7,83.3,3.0,2026-08-21,2026-08-21_BET-RSO,RSO,Marc Bartra,Defender
BET,Pablo Fornals (Attacking Midfielder),90.0,1.0,21.2,27.3,9.0,71.4,0.0,9.0,11.0,2.0,4.0,7.0,1.0,7.0,8.0,1.0,11.0,0.0,6.0,6.0,0.0,54.0,1.0,32.1,18.0,0.054,0.0,0.0,3.0,0.0,37.5,12.5,32.1,0.0,52.0,4.0,4.0,2.0,5.0,0.0,1.0,0.0,75.0,56.0,85.7,85.7,4.0,0.0,0.22,0.0,0.11,2.0,2.0,0.0,0.0,100.0,50.0,0.0,9.0,2026-08-21,2026-08-21_BET-RSO,RSO,Pablo Fornals,Attacking Midfielder
BET,C. Hernández (Striker),80.0,3.0,21.2,27.3,4.5,0.0,1.0,5.0,11.0,3.0,0.0,6.0,2.0,0.0,2.0,0.0,2.0,2.0,13.0,1.0,1.0,45.0,4.0,10.5,2.0,0.056,3.0,2.0,2.0,1.0,42.1,31.6,10.5,6.0,22.0,1.0,0.0,17.0,0.0,0.0,5.0,6.0,38.0,19.0,73.7,66.7,2.0,1.0,0.13,0.0,0.11,2.0,2.0,1.0,50.0,50.0,35.3,40.0,4.0,2026-08-21,2026-08-21_BET-RSO,RSO,C. Hernández,Striker
BET,Fran García (Defender),90.0,1.0,21.2,27.3,11.0,100.0,0.0,7.0,7.0,8.0,1.0,9.0,1.0,3.0,4.0,0.0,2.0,0.0,7.0,5.0,2.0,28.0,2.0,31.8,14.0,0.0,0.0,0.0,1.0,0.0,29.5,6.8,31.8,0.0,30.0,1.0,2.0,8.0,3.0,0.0,3.0,0.0,63.0,44.0,86.4,100.0,1.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,66.7,37.5,33.3,11.0,2026-08-21,2026-08-21_BET-RSO,RSO,Fran García,Defender
BET,Antony (Attacking Midfielder),90.0,2.0,21.2,27.3,3.0,50.0,0.0,17.0,7.0,4.0,1.0,26.0,5.0,0.0,5.0,1.0,11.0,0.0,8.0,5.0,0.0,23.0,5.0,16.7,7.0,0.072,1.0,1.0,3.0,0.0,7.1,38.1,16.7,6.0,49.0,3.0,3.0,10.0,2.0,0.0,1.0,6.0,68.0,42.0,95.2,92.3,3.0,0.0,0.47,0.0,0.36,3.0,5.0,2.0,40.0,50.0,60.0,100.0,3.0,2026-08-21,2026-08-21_BET-RSO,RSO,Antony,Attacking Midfielder
BET,Rodrigo Riquelme (Attacking Midfielder),73.0,2.0,21.2,27.3,0.0,50.0,0.0,10.0,12.0,2.0,1.0,14.0,3.0,0.0,3.0,0.0,6.0,0.0,9.0,7.0,0.0,40.0,8.0,22.6,7.0,0.102,0.0,0.0,0.0,0.0,29.0,16.1,22.6,7.0,38.0,2.0,2.0,13.0,1.0,0.0,1.0,7.0,51.0,31.0,80.6,78.6,2.0,0.0,0.1,1.0,0.1,1.0,1.0,1.0,100.0,33.3,61.5,0.0,0.0,2026-08-21,2026-08-21_BET-RSO,RSO,Rodrigo Riquelme,Attacking Midfielder
BET,Álvaro Valles (Goalkeeper),90.0,0.0,21.2,27.3,5.0,75.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.9,12.0,0.0,0.0,3.0,5.0,0.0,21.4,35.7,42.9,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,28.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,2026-08-21,2026-08-21_BET-RSO,RSO,Álvaro Valles,Goalkeeper
BET,Natan (Defender),90.0,0.0,21.2,27.3,3.0,50.0,0.0,5.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,0.0,5.0,0.0,0.0,5.0,1.0,11.0,2.0,32.1,17.0,0.0,0.0,6.0,0.0,0.0,41.5,20.8,32.1,0.0,38.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,65.0,53.0,90.6,50.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,66.7,75.0,100.0,3.0,2026-08-21,2026-08-21_BET-RSO,RSO,Natan,Defender
